Date;Close;CloseDolar
2007-09-03;24.26;12.41
2007-09-04;24.87;12.76
2007-09-05;25.45;12.92
2007-09-06;25.86;13.29
2007-09-10;26.44;13.59
2007-09-11;26.73;13.88
2007-09-12;26.84;14.06
2007-09-13;27.2;14.28
2007-09-14;27.49;14.46
2007-09-17;27.56;14.36
2007-09-18;27.63;14.72
2007-09-19;27.53;14.73
2007-09-20;27.79;14.77
2007-09-21;27.67;14.82
2007-09-24;28.16;15.05
2007-09-25;28.04;15.08
2007-09-26;27.71;15
2007-09-27;27.58;14.96
2007-09-28;27.32;14.9
2007-10-01;27.1;14.97
2007-10-02;26.97;14.78
2007-10-03;26.91;14.63
2007-10-04;26.78;14.67
2007-10-05;26.8;14.85
2007-10-08;26.72;14.7
2007-10-09;26.75;14.84
2007-10-10;26.52;14.69
2007-10-11;26.56;14.71
2007-10-15;26.69;14.71
2007-10-16;26.82;14.78
2007-10-17;26.88;14.76
2007-10-18;27.16;15.21
2007-10-19;27.22;15.07
2007-10-22;27.33;15.03
2007-10-23;27.79;15.46
2007-10-24;28.04;15.51
2007-10-25;28.25;15.75
2007-10-26;28.17;15.92
2007-10-29;28.5;16.22
2007-10-30;28.89;16.49
2007-10-31;29.13;16.78
2007-11-01;29.36;16.79
2007-11-05;29.39;16.81
2007-11-06;29.99;17.27
2007-11-07;30.37;17.45
2007-11-08;30.71;17.6
2007-11-09;30.68;17.57
2007-11-12;30.87;17.37
2007-11-13;31.03;17.56
2007-11-14;31.08;17.92
2007-11-16;31.16;17.84
2007-11-19;31.69;17.94
2007-11-20;31.67;17.97
2007-11-21;32.08;18.06
2007-11-22;32.42;18.21
2007-11-23;32.75;18.15
2007-11-26;32.92;18.05
2007-11-27;33.82;18.42
2007-11-28;33.9;18.9
2007-11-29;33.96;18.93
2007-11-30;34.51;19.25
2007-12-03;34.47;19.21
2007-12-04;34.52;19.08
2007-12-05;34.58;19.24
2007-12-06;34.62;19.49
2007-12-07;34.55;19.64
2007-12-10;34.54;19.56
2007-12-11;34.46;19.6
2007-12-12;34.33;19.36
2007-12-13;33.93;19.03
2007-12-14;33.76;18.79
2007-12-17;33.61;18.54
2007-12-18;33.32;18.37
2007-12-19;33.26;18.47
2007-12-20;33.16;18.37
2007-12-21;33.03;18.41
2007-12-26;32.74;18.47
2007-12-27;32.7;18.57
2007-12-28;32.73;18.44
2008-01-02;32.78;18.5
2008-01-03;32.92;18.79
2008-01-04;32.95;18.77
2008-01-07;33.08;18.75
2008-01-08;32.77;18.61
2008-01-09;32.78;18.54
2008-01-10;32.63;18.57
2008-01-11;32.53;18.62
2008-01-14;32.19;18.56
2008-01-15;31.94;18.23
2008-01-16;31.76;17.91
2008-01-17;30.74;17.2
2008-01-18;30.32;16.99
2008-01-21;29.9;16.34
2008-01-22;29.58;16.5
2008-01-23;29.25;16.03
2008-01-24;28.94;16.22
2008-01-25;28.82;16.13
2008-01-28;28.81;16.15
2008-01-29;28.74;16.14
2008-01-30;28.54;16.03
2008-01-31;28.41;16.15
2008-02-01;28.26;16.18
2008-02-06;28.04;15.99
2008-02-07;27.69;15.75
2008-02-08;27.62;15.62
2008-02-11;27.56;15.69
2008-02-12;27.57;15.75
2008-02-13;27.66;15.87
2008-02-14;27.67;15.81
2008-02-15;27.62;15.75
2008-02-18;27.6;15.9
2008-02-19;27.69;15.98
2008-02-20;27.72;16.08
2008-02-21;27.77;16.23
2008-02-22;27.74;16.24
2008-02-25;27.64;16.2
2008-02-26;27.69;16.45
2008-02-27;28;16.76
2008-02-28;28.11;16.84
2008-02-29;28.43;16.81
2008-03-03;28.4;17
2008-03-04;28.74;17.05
2008-03-05;28.52;17.06
2008-03-06;28.28;16.83
2008-03-07;27.58;16.38
2008-03-10;27.67;16.22
2008-03-11;27.42;16.28
2008-03-12;27.04;16.15
2008-03-13;27.04;15.97
2008-03-14;27.04;15.78
2008-03-17;27.37;15.88
2008-03-18;27.17;16.1
2008-03-19;27.11;15.75
2008-03-20;26.89;15.52
2008-03-24;26.65;15.25
2008-03-25;26.28;15.17
2008-03-26;26.26;15.22
2008-03-27;26.18;15.07
2008-03-28;26.09;14.96
2008-03-31;26.07;14.87
2008-04-01;25.86;14.82
2008-04-02;25.72;14.89
2008-04-03;25.58;14.9
2008-04-04;25.59;14.97
2008-04-07;25.61;15.03
2008-04-08;25.7;15.17
2008-04-09;25.98;15.38
2008-04-10;25.99;15.42
2008-04-11;26.21;15.51
2008-04-14;26.47;15.69
2008-04-15;26.95;16.01
2008-04-16;27.01;16.23
2008-04-17;27.31;16.47
2008-04-18;27.35;16.39
2008-04-22;27.34;16.46
